2020-06-11 19:39:04 status unpacked linux-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 startup packages configure
2020-06-11 19:39:04 configure linux-aws-5.3-headers-5.3.0-1023:all 5.3.0-1023.25~18.04.1 <none>
2020-06-11 19:39:04 status unpacked linux-aws-5.3-headers-5.3.0-1023:all 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status half-configured linux-aws-5.3-headers-5.3.0-1023:all 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status installed linux-aws-5.3-headers-5.3.0-1023:all 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 configure linux-headers-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1 <none>
2020-06-11 19:39:04 status unpacked linux-headers-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status half-configured linux-headers-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status installed linux-headers-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 configure linux-modules-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1 <none>
2020-06-11 19:39:04 status unpacked linux-modules-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status half-configured linux-modules-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status installed linux-modules-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 configure linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1 <none>
2020-06-11 19:39:04 status unpacked linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status half-configured linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status installed linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status triggers-pending linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 configure linux-headers-aws:amd64 5.3.0.1023.23 <none>
2020-06-11 19:39:04 status unpacked linux-headers-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status half-configured linux-headers-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status installed linux-headers-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 configure linux-image-aws:amd64 5.3.0.1023.23 <none>
2020-06-11 19:39:04 status unpacked linux-image-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status half-configured linux-image-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status installed linux-image-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 configure linux-aws:amd64 5.3.0.1023.23 <none>
2020-06-11 19:39:04 status unpacked linux-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status half-configured linux-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status installed linux-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 trigproc linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1 <none>
2020-06-11 19:39:04 status half-configured linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:11 status installed linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:13 startup archives unpack
2020-06-11 19:39:13 install hibagent:all <none> 1.0.1-0ubuntu1
2020-06-11 19:39:13 status half-installed hibagent:all 1.0.1-0ubuntu1
2020-06-11 19:39:13 status triggers-pending ureadahead:amd64 0.100.0-21
2020-06-11 19:39:13 status triggers-pending systemd:amd64 237-3ubuntu10.41
2020-06-11 19:39:13 status unpacked hibagent:all 1.0.1-0ubuntu1
2020-06-11 19:39:13 status unpacked hibagent:all 1.0.1-0ubuntu1
2020-06-11 19:39:13 startup packages configure
2020-06-11 19:39:13 configure hibagent:all 1.0.1-0ubuntu1 <none>
2020-06-11 19:39:13 status unpacked hibagent:all 1.0.1-0ubuntu1
2020-06-11 19:39:13 status unpacked hibagent:all 1.0.1-0ubuntu1
2020-06-11 19:39:13 status unpacked hibagent:all 1.0.1-0ubuntu1
2020-06-11 19:39:13 status half-configured hibagent:all 1.0.1-0ubuntu1
2020-06-11 19:39:13 status installed hibagent:all 1.0.1-0ubuntu1
2020-06-11 19:39:13 trigproc ureadahead:amd64 0.100.0-21 <none>
2020-06-11 19:39:13 status half-configured ureadahead:amd64 0.100.0-21
2020-06-11 19:39:13 status installed ureadahead:amd64 0.100.0-21
2020-06-11 19:39:13 trigproc systemd:amd64 237-3ubuntu10.41 <none>
2020-06-11 19:39:13 status half-configured systemd:amd64 237-3ubuntu10.41
2020-06-11 19:39:13 status installed systemd:amd64 237-3ubuntu10.41
2020-06-11 19:39:15 startup archives unpack
2020-06-11 19:39:15 install ec2-hibinit-agent:all <none> 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status half-installed ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 startup packages configure
2020-06-11 19:39:15 configure ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4 <none>
2020-06-11 19:39:15 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status unpacked ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:15 status half-configured ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-06-11 19:39:16 status installed ec2-hibinit-agent:all 1.0.0-0ubuntu4~18.04.4
2020-07-04 02:16:10 startup archives unpack
2020-07-04 02:16:12 install php-common:all <none> 1:60ubuntu1
2020-07-04 02:16:12 status half-installed php-common:all 1:60ubuntu1
2020-07-04 02:16:12 status unpacked php-common:all 1:60ubuntu1
2020-07-04 02:16:12 status unpacked php-common:all 1:60ubuntu1
2020-07-04 02:16:12 install php7.2-common:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:12 status half-installed php7.2-common:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:12 status unpacked php7.2-common:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:12 status unpacked php7.2-common:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:12 install php7.2-mbstring:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:12 status half-installed php7.2-mbstring:amd64 7.2.24-0ubuntu0.18.04.6
